# =============================================================================,,,,,,
# product_map.csv  -  master native-product -> canonical-product mapping,,,,,,
# =============================================================================,,,,,,
#,,,,,,
# Lines starting with '#' are documentation and are ignored by the loader,,,,,,
# (reference/loaders.py uses pd.read_csv(..., comment='#')).,,,,,
#,,,,,,
# WHY THIS FILE EXISTS,,,,,,
# --------------------,,,,,,
# Each national agency (DCCEEW, PPAC, METI, JODI, ...) calls petroleum,,
# products by different native names: 'HSD'," ""GASDIES"""," ""Diesel oil: total"".",,,,
# This file maps every native name to ONE canonical category / sub-category,,,,,,
# so cross-country queries can group on the canonical column instead of,,,,,,
# juggling source-specific labels.,,,,,,
#,,,,,,
# COLUMN -> PARQUET MAPPING  (important: the CSV header names and the,,,,,,
# parquet column names INTENTIONALLY DIFFER - see processors/*.py),,,,,,
# -----------------------------------------------------------------,,,,,,
#,,,,,,
#     This CSV column   ->   Parquet column that carries the value,,,,,,
#     -----------------------------------------------------------,,,,,,
#     Product_name      ->   product_native (India) / product (Australia),,,,,,
#                            / energy_product (JODI),,,,,,
#     Category          ->   category,,,,,,
#     Sub-category      ->   product_canonical,,,,,,
#     Parent_product    ->   (kept in CSV only; useful for hierarchy,,,,,,
#                            queries via reference.loaders.parent_product),,,,,,
#     Product_details   ->   (kept in CSV only; carries the [TAG] vocab,,,,,,
#                            and free-text notes),,,,,,
#,,,,,,
# Why the rename? Because pandas hates hyphens in column names ('Sub-category',,,,,,
# would need backtick-quoting), and the parquet column 'product_canonical',,,,,
# reads more naturally next to the native 'product' column. The CSV side,,,,,,
# uses the original taxonomy terms; the parquet side uses pandas-friendly,,,,,,
# names. Both are correct.,,,,,,
#,,,,,,
# PRODUCT_DETAILS [TAG] VOCABULARY,,,,,,
# ---------------------------------,,,,,,
#     [AGG]      Aggregate / total row. Sub-category='-' so it does NOT,,,,,,
#                contribute to canonical sums. Example: JODI's TOTPRODS.,,,,,,
#     [SUB]      A sub-product whose parent total is the primary. Use the,,,,,,
#                parent (via Parent_product column) for cross-source sums.,,,,,,
#     [MIXED]    Aggregate that spans canonical categories - cannot be,,,,,,
#                cleanly attributed (e.g. Japan's 'Total Fuel Oil' =,,,,,,
#                gasoil-like Fuel Oil A + heavy Fuel Oil B+C).,,,,,,
#     [DERIVED]  Project-derived row computed in a processor. Example:,,,,,,
#                X_OTHKERO = KEROSENE - JETKERO.,,,,,,
#,,,,,,
# ADDING A NEW SOURCE,,,,,,
# -------------------,,,,,,
# 1. Append rows here with a new Source value (e.g. 'OPEC'," ""EIA"").",,,,,
# 2. Ensure each native name in your parquet has exactly one row.,,,,,,
# 3. Use Category='-', Sub-category='-' and tag with [AGG] for total /,,,,,
#    super-aggregate rows so they're correctly excluded from canonical,,,,,,
#    sums.,,,,,,
# 4. Drop reference.loaders' caches if running in a notebook:,,,,,,
#        from reference import loaders,,,,,,
#        loaders.load_product_map.cache_clear(),,,,,,
#,,,,,,
# =============================================================================,,,,,,
Country,Source,Product_name,Category,Sub-category,Product_details,Parent_product
International,JODI,LPG,LPG,LPG,,
International,JODI,NAPHTHA,Naphtha,Naphtha,,
International,JODI,GASOLINE,Gasoline,Gasoline,,
International,JODI,KEROSENE,-,-,[AGG] Sum of X_OTHKERO + JETKERO; excluded from cross-country sums to avoid double-counting,
International,JODI,JETKERO,Kerosene,Jet Fuel,[SUB] Sub of KEROSENE; pair with X_OTHKERO for the non-overlapping kerosene split,KEROSENE
International,JODI,X_OTHKERO,Kerosene,Kerosene,[DERIVED] X_OTHKERO = KEROSENE - JETKERO; non-jet kerosene; computed in processors/jodi.py,KEROSENE
International,JODI,GASDIES,Distillates,Diesel,,
International,JODI,RESFUEL,Fuel Oil,Fuel Oil,,
International,JODI,ONONSPEC,Others,Others,,
International,JODI,TOTPRODS,-,-,[AGG] JODI super-aggregate of all products,
India,PPAC,LPG,LPG,LPG,,
India,PPAC,Naphtha,Naphtha,Naphtha,,
India,PPAC,MS,Gasoline,Gasoline,,
India,PPAC,SKO,Kerosene,Kerosene,,
India,PPAC,ATF,Kerosene,Jet Fuel,,
India,PPAC,HSD,Distillates,Diesel,,
India,PPAC,LDO,Distillates,Gasoil,,
India,PPAC,Lubricants & Greases,Heavy byproducts,Lubricants / Grease,,
India,PPAC,FO & LSHS,Fuel Oil,Fuel Oil,,
India,PPAC,Bitumen,Heavy byproducts,Bitumen,,
India,PPAC,Petroleum coke,Heavy byproducts,Petcoke,,
India,PPAC,Others,Others,Others,,
India,PPAC,All Products total,-,-,[AGG] Country-wide consumption total,
India,PPAC,All products total,-,-,[AGG] Variant spelling of 'All Products total' (lowercase p); appears in older sheets,
India,PPAC,TOTAL,-,-,[AGG] Country-wide consumption total; alternative label from a separate table layout,
Australia,DCCEEW,Regular (<95 RON),Gasoline,Gasoline,[SUB] <95 RON,Automotive gasoline total
Australia,DCCEEW,Premium (95-97 RON),Gasoline,Gasoline,[SUB] 95-97 RON,Automotive gasoline total
Australia,DCCEEW,Premium (98+ RON),Gasoline,Gasoline,[SUB] 98+ RON,Automotive gasoline total
Australia,DCCEEW,Ethanol-blended fuel,Gasoline,Gasoline,[SUB] Ethanol 10% blend,Automotive gasoline total
Australia,DCCEEW,Automotive gasoline total,-,-,[AGG] Sum of Regular/Premium/Ethanol subs; subs are primaries,
Australia,DCCEEW,Diesel oil: total,Distillates,Diesel,,
Australia,DCCEEW,Diesel oil: premium diesel,-,-,[SUB] Sub of Diesel oil: total; sparse pre-2024; total used as primary,Diesel oil: total
Australia,DCCEEW,Aviation turbine fuel Domestic,Kerosene,Jet Fuel,[SUB] Domestic jet fuel,Aviation turbine fuel total
Australia,DCCEEW,Aviation turbine fuel International,Kerosene,Jet Fuel,[SUB] International jet fuel,Aviation turbine fuel total
Australia,DCCEEW,Aviation turbine fuel total,-,-,[AGG] Sum of Domestic + International; subs are primaries,
Australia,DCCEEW,LPG Automotive use,LPG,LPG,[SUB] Automotive LPG,LPG total
Australia,DCCEEW,LPG Non-automotive use,LPG,LPG,[SUB] Non-automotive LPG,LPG total
Australia,DCCEEW,LPG total,-,-,[AGG] Sum of Automotive + Non-automotive; subs are primaries,
Australia,DCCEEW,Aviation gasoline,Gasoline,Gasoline,Aviation Gasoline,
Australia,DCCEEW,Fuel oil,Fuel Oil,Fuel Oil,Fuel Oil,
Australia,DCCEEW,Lubricating oils & greases,Heavy byproducts,Lubricants / Grease,Lubricants / Grease,
Australia,DCCEEW,Other products,Others,Others,Others,
Australia,DCCEEW,Diesel oil,Distillates,Diesel,[PRIMARY] CLOSTLV stock sheet label; same series as Diesel oil: total,
Australia,DCCEEW,Automotive gasoline,Gasoline,Gasoline,[PRIMARY] CLOSTLV stock sheet label; same as Automotive gasoline total,
Australia,DCCEEW,Aviation turbine fuel,Kerosene,Jet Fuel,[PRIMARY] CLOSTLV stock sheet label; same as Aviation turbine fuel total,
Australia,DCCEEW,LPG,LPG,LPG,[PRIMARY] CLOSTLV stock sheet label; same as LPG total,
Australia,DCCEEW,"Lubricating oils, greases & basestocks",Heavy byproducts,Lubricants / Grease,[PRIMARY] CLOSTLV stock sheet label; demand sheet uses Lubricating oils & greases,
Australia,DCCEEW,Crude oil and refinery feedstocks,-,-,[AGG] CLOSTLV stock sheet; crude/feedstock out of product scope,
Australia,DCCEEW,Total stocks COE,-,-,[AGG] CLOSTLV country total; excluded from canonical sums,
Thailand,EPPO,GASOLINE,-,-,[AGG] Sum of REGULAR + PREMIUM; subs are primaries,
Thailand,EPPO, REGULAR,Gasoline,Gasoline,[SUB] Regular gasoline,GASOLINE
Thailand,EPPO, PREMIUM,Gasoline,Gasoline,[AGG] Sum of GASOHOL + U95; subs are primaries,GASOLINE
Thailand,EPPO,#NAME?,-,-,[SUB] Sub of Gasoline; Dropped bc not present n historical file; premium used as primary,
Thailand,EPPO,0,-,-,[SUB] Sub of Gasoline; Dropped bc not present n historical file; premium used as primary,
Thailand,EPPO,KEROSENE,Kerosene,Kerosene,,
Thailand,EPPO,DIESEL  ,-,-,[AGG] Sum of HSD + LSD; subs are primaries,
Thailand,EPPO, HSD,Distillates,Diesel,[SUB] High sulfur diesel,DIESEL  
Thailand,EPPO, LSD,Distillates,Diesel,[SUB] Low sulfur diesel,DIESEL  
Thailand,EPPO,J.P.,Kerosene,Jet Fuel,,
Thailand,EPPO,FUEL OIL,Fuel Oil,Fuel Oil,[AGG] Sum of all grades; total used as primary,
Thailand,EPPO, GRADE 1,-,-,[SUB] Sub of Fuel oil; Dropped bc not present n historical file; total used as primary,
Thailand,EPPO, GRADE 2,-,-,[SUB] Sub of Fuel oil; Dropped bc not present n historical file; total used as primary,
Thailand,EPPO, GRADE 3,-,-,[SUB] Sub of Fuel oil; Dropped bc not present n historical file; total used as primary,
Thailand,EPPO, GRADE 4,-,-,[SUB] Sub of Fuel oil; Dropped bc not present n historical file; total used as primary,
Thailand,EPPO, GRADE 5,-,-,[SUB] Sub of Fuel oil; Dropped bc not present n historical file; total used as primary,
Thailand,EPPO,LPG,LPG,LPG,,
Thailand,EPPO,TOTAL,-,-,[AGG] Country-wide consumption total; alternative label from a separate table layout,
Italy,MASE,BENZINA | AUTO TOTALE,Gasoline,Gasoline,[AGG] Headline gasoline total; JODI GASOLINE compare,
Italy,MASE,BENZINA | RETE TOTALE,-,-,[SUB] Retail network,BENZINA | AUTO TOTALE
Italy,MASE,BENZINA | EXTRARETE,-,-,[SUB] Wholesale / extrarete,BENZINA | AUTO TOTALE
Italy,MASE,BENZINA | RETE AUTOSTRADALE,-,-,[SUB] Motorway network; definitive footer section,BENZINA | AUTO TOTALE
Italy,MASE,BENZINA | RETE AUTOSTRAD.,-,-,[SUB] Abbreviated motorway label in older files,BENZINA | AUTO TOTALE
Italy,MASE,CARBOTURBO | TOTALE (A),Kerosene,Jet Fuel,[AGG] Headline jet total; JODI JETKERO compare,
Italy,MASE,CARBOTURBO | CIVILE,-,-,[SUB] Civil aviation; definitive only,CARBOTURBO | TOTALE (A)
Italy,MASE,CARBOTURBO | MILITARE,-,-,[SUB] Military aviation,CARBOTURBO | TOTALE (A)
Italy,MASE,CARBOTURBO | TOTALE,-,-,[SUB] Preliminary alias when (A) suffix omitted,CARBOTURBO | TOTALE (A)
Italy,MASE,CARBOT. | CIVILE,-,-,[SUB] Alias of CARBOTURBO | CIVILE in pre-2020 files,CARBOTURBO | TOTALE (A)
